"GEO_ID","NAME","YEAR","zip_code","vets_popcount","nonvets_pop_count","total_labor_force_percent","vets_labor_force_percent","nonvets_labor_force_percent","total_labor_force_count","vets_labor_force_count","nonvets_labor_force_count","total_unemp_rate_percent","vets_unemp_rate_percent","nonvets_unemp_rate_percent","total_pov_count","total_pov_percent","vets_pov_count","vets_pov_percent","nonvets_pov_count","nonvets_pov_percent","total_dis_count","total_dis_percent","vet_dis_count","vet_dis_percent","nonvet_dis_count","nonvet_dis_percent","drop_zip"
"8600000US11549","ZCTA5 11549","2019","11549",0,0,41.7,0,41.7,1137,0,1137,10.2,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US11556","ZCTA5 11556","2019","11556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US11794","ZCTA5 11794","2019","11794",0,0,35.6,0,35.6,1053,0,1053,13.7,0,13.7,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US11931","ZCTA5 11931","2019","11931",0,0,100,0,100,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US11973","ZCTA5 11973","2019","11973",0,0,50,0,50,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US12024","ZCTA5 12024","2019","12024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US12069","ZCTA5 12069","2019","12069",0,0,47.4,0,47.4,45,0,45,40,0,40,51,34.5,0,0,51,34.5,41,27.7,0,0,41,27.7,TRUE
"8600000US12089","ZCTA5 12089","2019","12089",0,0,49.1,0,49.1,28,0,28,0,0,0,29,45.3,0,0,29,45.3,36,56.3,0,0,36,56.3,TRUE
"8600000US12130","ZCTA5 12130","2019","12130",0,0,88.3,0,88.3,302,0,302,4,0,4,12,2.6,0,0,12,2.6,58,12.4,0,0,58,12.4,TRUE
"8600000US12132","ZCTA5 12132","2019","12132",0,0,89.7,0,89.7,113,0,113,8.8,0,8.8,0,0,0,0,0,0,34,13.9,0,0,34,13.9,TRUE
"8600000US12161","ZCTA5 12161","2019","12161",0,0,100,0,100,158,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US12222","ZCTA5 12222","2019","12222",0,0,36.8,0,36.8,2238,0,2238,14.7,0,14.7,15,100,0,0,15,100,0,0,0,0,0,0,TRUE
"8600000US12429","ZCTA5 12429","2019","12429",0,0,61.7,0,61.7,116,0,116,13.8,0,13.8,22,8.5,0,0,22,8.5,127,49,0,0,127,49,TRUE
"8600000US12459","ZCTA5 12459","2019","12459",0,0,83.5,0,83.5,91,0,91,0,0,0,0,0,0,0,0,0,53,25.9,0,0,53,25.9,TRUE
"8600000US12471","ZCTA5 12471","2019","12471",0,0,91.6,0,91.6,196,0,196,0,0,0,18,7.4,0,0,18,7.4,15,6.1,0,0,15,6.1,TRUE
"8600000US12490","ZCTA5 12490","2019","12490",0,0,51.9,0,51.9,14,0,14,0,0,0,13,48.1,0,0,13,48.1,0,0,0,0,0,0,TRUE
"8600000US12527","ZCTA5 12527","2019","12527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US12530","ZCTA5 12530","2019","12530",0,0,72.1,0,72.1,44,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US12574","ZCTA5 12574","2019","12574",0,0,88.5,0,88.5,154,0,154,0,0,0,0,0,0,0,0,0,47,23.3,0,0,47,23.3,TRUE
"8600000US12722","ZCTA5 12722","2019","12722",0,0,100,0,100,28,0,28,0,0,0,0,0,0,0,0,0,58,68.2,0,0,58,68.2,TRUE
"8600000US12784","ZCTA5 12784","2019","12784",0,0,100,0,100,8,0,8,0,0,0,0,0,0,0,0,0,17,68,0,0,17,68,TRUE
"8600000US12864","ZCTA5 12864","2019","12864",0,0,100,0,100,13,0,13,15.4,0,15.4,8,36.4,0,0,8,36.4,9,40.9,0,0,9,40.9,TRUE
"8600000US12872","ZCTA5 12872","2019","12872",0,0,100,0,100,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US12933","ZCTA5 12933","2019","12933",0,0,85.7,0,85.7,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US12961","ZCTA5 12961","2019","12961",0,0,17.9,0,17.9,44,0,44,0,0,0,60,24.4,0,0,60,24.4,80,32.5,0,0,80,32.5,TRUE
"8600000US13051","ZCTA5 13051","2019","13051",0,0,62.1,0,62.1,87,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US13123","ZCTA5 13123","2019","13123",0,0,55.3,0,55.3,126,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US13290","ZCTA5 13290","2019","13290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US13352","ZCTA5 13352","2019","13352",0,0,100,0,100,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US13475","ZCTA5 13475","2019","13475",0,0,100,0,100,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US13484","ZCTA5 13484","2019","13484",0,0,100,0,100,157,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US13623","ZCTA5 13623","2019","13623",0,0,0,0,0,0,0,0,0,0,0,4,22.2,0,0,4,22.2,3,16.7,0,0,3,16.7,TRUE
"8600000US13751","ZCTA5 13751","2019","13751",0,0,59.5,0,59.5,75,0,75,0,0,0,10,6.7,0,0,10,6.7,51,34,0,0,51,34,TRUE
"8600000US13774","ZCTA5 13774","2019","13774",0,0,73.5,0,73.5,86,0,86,24.4,0,24.4,17,13.4,0,0,17,13.4,31,24.4,0,0,31,24.4,TRUE
"8600000US13794","ZCTA5 13794","2019","13794",0,0,100,0,100,38,0,38,26.3,0,26.3,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US13845","ZCTA5 13845","2019","13845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,48.8,0,0,60,48.8,TRUE
"8600000US14112","ZCTA5 14112","2019","14112",0,0,100,0,100,45,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US14302","ZCTA5 14302","2019","14302",0,0,0,0,0,0,0,0,0,0,0,20,66.7,0,0,20,66.7,30,100,0,0,30,100,TRUE
