"GEO_ID","NAME","YEAR","zip_code","vets_popcount","nonvets_pop_count","total_labor_force_percent","vets_labor_force_percent","nonvets_labor_force_percent","total_labor_force_count","vets_labor_force_count","nonvets_labor_force_count","total_unemp_rate_percent","vets_unemp_rate_percent","nonvets_unemp_rate_percent","total_pov_count","total_pov_percent","vets_pov_count","vets_pov_percent","nonvets_pov_count","nonvets_pov_percent","total_dis_count","total_dis_percent","vet_dis_count","vet_dis_percent","nonvet_dis_count","nonvet_dis_percent","drop_zip","zero_flag"
"860Z200US10606","ZCTA5 10606","2024","10606",0,307,83.6,99.1,83.3,8828,227,8601,5.9,5.3,5.9,1422,11,0,0,1422,11.2,1361,10.5,38,13.2,1323,10.5,FALSE,0
"860Z200US10607","ZCTA5 10607","2024","10607",0,171,81.4,63.5,81.7,3043,40,3003,9.2,0,9.3,350,6.8,13,7.6,337,6.8,722,14,87,50.9,635,12.7,FALSE,0
"860Z200US10701","ZCTA5 10701","2024","10701",0,1889,74.8,79.3,74.6,33637,948,32689,8.7,7.5,8.7,8499,15.5,235,12.6,8264,15.6,10086,18.4,330,17.7,9756,18.5,FALSE,0
"860Z200US10703","ZCTA5 10703","2024","10703",0,596,79.6,94.9,79.3,11139,244,10895,6.3,9.4,6.3,1773,9.9,121,21.6,1652,9.6,2321,13,112,20,2209,12.8,FALSE,0
"860Z200US10704","ZCTA5 10704","2024","10704",0,669,79.6,92.4,79.4,15766,232,15534,7,0,7.1,2974,11.4,74,11.1,2900,11.4,3993,15.3,239,35.7,3754,14.7,FALSE,0
"860Z200US10705","ZCTA5 10705","2024","10705",0,780,76.2,64.8,76.4,18447,284,18163,6.8,15.8,6.7,4773,15.6,125,16,4648,15.6,5723,18.7,396,50.8,5327,17.8,FALSE,0
"860Z200US10706","ZCTA5 10706","2024","10706",0,283,83.8,68.3,84.2,4204,84,4120,4.4,0,4.5,231,3.3,0,0,231,3.4,782,11.1,73,26.3,709,10.5,FALSE,0
"860Z200US10707","ZCTA5 10707","2024","10707",0,241,82.7,77,82.8,5157,97,5060,3.2,0,3.2,413,5.2,24,10.3,389,5.1,819,10.4,67,28.6,752,9.8,FALSE,0
"860Z200US10708","ZCTA5 10708","2024","10708",0,445,80.8,93.4,80.7,11070,113,10957,6.5,0,6.5,1391,8.2,9,2.1,1382,8.4,2017,11.9,133,30.4,1884,11.4,FALSE,0
"860Z200US10709","ZCTA5 10709","2024","10709",0,315,75.5,100,74.9,4321,123,4198,3.7,0,3.9,344,4.4,0,0,344,4.6,671,8.6,71,22.5,600,8,FALSE,0
"860Z200US10710","ZCTA5 10710","2024","10710",0,617,81.5,96.7,81.2,12780,238,12542,3.9,0,4,1741,8.2,19,3.1,1722,8.4,2737,12.9,117,19,2620,12.8,FALSE,0
"860Z200US10801","ZCTA5 10801","2024","10801",0,680,79.6,64.1,80,21846,343,21503,6.5,46.9,5.9,4119,12.8,117,18.1,4002,12.6,5186,16.1,333,51.5,4853,15.3,FALSE,0
